place,year,name,gender,count
AL,1962,Annie,F,107
USA,2001,Brenee,F,8
NH,1977,Gary,M,17
PA,2012,Saige,F,23
KS,1942,Elvin,M,5
TX,1948,Josie,F,84
WA,1999,Orion,M,19
WA,2005,Delaney,F,41
MO,1928,Harold,F,5
USA,1944,Sherlyn,F,28
CA,2005,Arisa,F,5
NY,2013,Reginald,M,13
USA,2016,Myia,F,20
OH,1916,Cornelia,F,16
USA,2008,Keyarah,F,20
FL,1912,Marion,F,17
TX,1916,Carmen,F,83
AL,2002,Tavaris,M,8
OR,2006,Melissa,F,27
TN,1928,Gladys,F,231
MD,1914,Ellen,F,33
OK,1983,Devon,F,6
KY,1987,Dillon,M,9
OR,2017,Ivanna,F,6
NC,1920,Wallace,M,44
SC,1922,Felder,M,5
MI,1970,Paige,F,19
PR,2009,David,M,112
USA,1969,Shawn,F,1823
OH,2009,Britney,F,6
USA,1967,Timika,F,6
KY,2008,Brody,M,125
SC,1975,Teresa,F,109
VA,2009,Shreya,F,9
CA,2006,Marie,F,65
IN,1951,Norbert,M,6
AZ,1971,Brady,M,7
USA,1984,Tobin,M,37
TX,1998,Callen,M,7
AR,1939,Sterling,M,15
SC,1962,Douglas,M,111
SC,2017,Dakari,M,6
GA,2001,Daequan,M,5
TX,2007,Jaimie,F,8
AZ,1962,Valerie,F,49
SC,1992,Kacie,F,10
OR,1963,Kristi,F,46
MN,1940,Rudy,M,8
OR,2017,Jet,M,9
MS,2007,Fredrick,M,18
AR,2016,Jane,F,9
TX,2013,Yuridia,F,19
HI,1923,Toshiko,F,21
PA,1970,Harry,M,229
NC,1936,Kathleen,F,51
IN,1990,Ian,M,126
NM,1950,Lana,F,7
TX,1958,Sebastian,M,9
AL,2004,Kasey,F,11
PA,1930,Andrew,M,445
NC,2009,Mason,M,363
SC,2003,Grace,F,105
MO,2001,Wade,M,18
USA,1919,Merva,F,5
TX,1927,Felis,F,6
VA,1931,Caroline,F,17
OH,1995,Imani,F,56
FL,1997,Winter,F,6
USA,2010,Selam,F,6
NC,1926,Adelaide,F,6
TX,1920,Wade,M,29
USA,1973,Deonna,F,40
MI,1970,Josh,M,6
UT,2005,Kirra,F,5
NJ,1965,Esther,F,22
NJ,2000,Siobhan,F,5
TX,2003,Leidy,F,6
OH,1966,Jeffry,M,24
CT,2016,Zachary,M,62
NC,2008,Alex,F,5
MA,1931,Juliette,F,17
OH,1925,Reba,F,17
TX,1975,Latrecia,F,5
HI,1981,Tatiana,F,6
USA,1989,Takeshia,F,31
TX,1975,Carlos,M,619
PA,1995,Jeanne,F,6
TN,2006,Cristofer,M,5
GA,2009,Katrina,F,9
NJ,1995,Kaylah,F,7
USA,2015,Nineveh,F,8
UT,1935,Kaye,F,5
MI,1942,Lynnette,F,7
OH,2002,Aubrianna,F,5
USA,2008,Kiriana,F,6
NJ,1974,Rosanna,F,8
USA,2002,Jashun,M,10
GA,2002,Darren,M,21
GA,1971,Rose,F,24
KY,1939,Maudie,F,21
LA,1964,Gabriel,M,9
USA,1978,Sameer,M,36
ID,1995,David,M,67
OH,1939,Edward,M,655
NY,1991,Micah,M,23
MI,1998,Stefanie,F,15
TN,1962,Lillian,F,16
LA,1921,Iris,F,28
NY,1931,Ilene,F,13
USA,1926,Viviana,F,8
MO,1987,Jimmy,M,21
SC,2001,Clara,F,9
USA,2009,Janyiah,F,42
WV,2015,Sophia,F,81
CA,2006,Filip,M,5
USA,2007,Keilan,M,64
OH,2004,Alexis,M,18
TX,2003,Shianne,F,8
IL,1989,Ryne,M,25
USA,2013,Jayzeon,M,9
NY,1984,Danelle,F,16
TX,1943,Welton,M,10
MO,2013,Diesel,M,7
USA,1929,Tally,M,5
OH,1949,Irvin,M,17
FL,1992,Kyla,F,27
NM,1986,John,M,173
VA,2011,Lexi,F,17
MA,1984,Rocco,M,7
SC,1985,Scotty,M,7
CA,2001,Forest,M,8
UT,1953,Marlin,M,6
MI,1914,Willie,M,12
VA,1968,Lori,F,193
MS,1934,Genevieve,F,9
MA,2002,Eugene,M,8
USA,1900,Imogene,F,59
IN,2015,Ashton,M,64
USA,2017,Evania,F,11
WV,1996,Brandi,F,35
IN,2000,Dustin,M,78
HI,2001,Benjamin,M,24
NC,2002,Amara,F,8
USA,1926,Secundino,M,7
WA,1915,Patricia,F,32
VA,1953,Tony,M,86
WA,1989,Robin,F,22
VA,2012,Lexie,F,9
MT,1950,Eileen,F,20
MI,1982,Jeffrey,M,816
CO,2018,Sabrina,F,6
OH,1967,Kerri,F,36
IL,1934,Polly,F,6
USA,1936,Clyde,F,41
CA,1968,Balinda,F,5
MD,1989,Zackary,M,9
USA,2014,Cloee,F,5
USA,2018,Geonna,F,7
USA,1943,Brent,M,350
MN,1997,Francis,M,13
USA,1941,Cranford,M,6
MA,1970,Barry,M,82
USA,1981,Chanti,F,8
AR,2014,Canaan,M,5
TX,2001,Shae,F,11
TX,1970,Malissa,F,14
WI,1930,Russel,M,9
NC,2002,Emory,F,5
VT,2009,Isabella,F,32
MD,1974,Jeanine,F,10
AL,2014,Benson,M,5
NC,2014,Derrick,M,26
GA,1999,Shivani,F,5
USA,1923,Esco,M,9
OK,1936,Robbie,F,10
IA,1971,Joel,M,80
FL,2007,Carter,M,205
MS,1976,Shana,F,28
NM,2017,Carlos,M,24
CA,1992,Aryana,F,14
AL,1954,Florence,F,21
TX,1976,Reginald,M,105
DC,1955,Betty,F,48
USA,1985,Zackariah,M,7
IA,1993,Trisha,F,12
USA,2007,Alexus,F,476
TX,2002,Truman,M,13
USA,2002,Bekka,F,5
USA,1955,Roy,M,6327
USA,1921,Maura,F,14
DE,2018,Rowan,F,7
TX,2010,Salomon,M,10
NC,2011,Donna,F,5
OH,2010,Brook,F,8
FL,2003,Jailen,M,8
HI,1934,Emilio,M,6
DC,1941,Carroll,M,7
WI,1957,Martina,F,5
USA,1902,Manley,M,6
USA,1999,Munir,M,12
GA,1921,Bonnie,F,58
NE,1976,Tennille,F,5
NJ,1974,Kristie,F,36
TN,1996,Precious,F,27
MI,1996,Alecia,F,19
IA,2002,Lydia,F,43
ME,1999,Shawna,F,9
AR,1952,Yvonne,F,26
MD,2006,Michael,M,457
TN,1928,Floy,F,12
NJ,2005,Damion,M,7
USA,2017,Kolson,M,62
MN,1927,Marilyn,F,235
GA,1990,Neal,M,11
TX,1993,Kelsi,F,60
NC,2007,Lilianna,F,5
TN,1949,Darrell,M,45
MT,1917,Emil,M,16
NM,2001,Selena,F,19
AZ,1918,Lorraine,F,5
IL,1968,Tomi,F,5
MD,2014,Carleigh,F,5
IL,1957,Gayle,F,169
USA,1961,Cheskel,M,6
IL,1919,Corrine,F,15
TN,1916,Clifton,M,23
PA,1966,Stacy,F,166
AR,1943,Van,M,9
USA,1978,Karalyn,F,20
SC,1917,Isabelle,F,21
MI,2004,Travion,M,5
NE,1998,Riley,F,16
USA,1973,Romain,M,8
IN,1994,Deandre,M,22
TN,1943,Ted,M,27
TX,1962,Cindi,F,18
MO,1914,Aileen,F,9
MO,1954,Dewayne,M,9
KY,1949,Jan,F,10
USA,1957,Peg,F,43
MD,2000,Kyla,F,30
AZ,1961,Clay,M,18
MI,1954,Faye,F,63
KY,1980,Monica,F,66
LA,1961,Venita,F,7
USA,1903,Rubie,F,38
VA,1950,Cornell,M,11
ND,1963,Eileen,F,8
USA,1942,Barton,M,135
MA,1965,Myron,M,7
NH,2014,Evan,M,34
FL,2008,Jacqueline,F,101
VA,2008,Alayah,F,6
GA,2007,Christina,F,87
SC,1957,Sonny,M,5
USA,1966,Grace,F,935
WA,1983,Rogelio,M,5
OH,1975,Alisa,F,29
LA,1966,Angelo,M,8
MN,1937,Sharron,F,6
NH,1934,Charles,M,75
MO,1917,Paula,F,7
IN,2018,Ember,F,48
NE,2017,Keegan,M,8
IA,2014,Daniel,M,74
NC,2014,Taylor,F,147
USA,1986,Charlee,F,39
NJ,1989,Zoila,F,5
SC,1993,Quincy,M,8
NY,1961,Andria,F,5
USA,1904,Kathrine,F,20
NY,1981,Jordan,M,194
TN,1950,Butch,M,5
USA,2009,Leeroy,M,15
MO,1999,Katlin,F,5
OK,1943,Faye,F,20
CO,2017,Kaelyn,F,9
OH,1959,Marlin,M,12
NY,2000,Noor,F,16
USA,1951,Jewel,F,291
TX,2018,Deion,M,14
FL,1994,Darrick,M,6
CO,1959,Sara,F,11
CA,1987,Arika,F,9
USA,1992,Nathen,M,86
MS,1980,Tamara,F,25
WV,1930,Kathern,F,7
UT,1999,Amelia,F,37
SC,1976,Bryant,M,11
CA,2010,Cordell,M,6
USA,1991,Matt,M,83
MD,1925,Sterling,M,15
USA,1989,Reyna,F,199
NY,1934,Georgette,F,22
DE,1983,Leah,F,11
IA,1993,Conner,M,30
VA,1937,Gloria,F,127
HI,1949,Derek,M,10
USA,1981,Tj,M,44
USA,2008,Dynasia,F,13
IA,1953,Kristi,F,28
NC,1945,Gaye,F,6
USA,1907,Rollie,M,16
IL,1966,Felica,F,6
AZ,1975,Ronda,F,12
TX,1944,Alvis,M,17
VA,1992,Laurel,F,11
IL,2005,Frankie,M,15
MD,1968,Joe,M,16
USA,1910,Aldora,F,7
NJ,2009,Rishabh,M,6
UT,2013,Kimberly,F,25
NE,1924,Norma,F,151
MD,1966,Stacy,F,66
CO,1959,Diane,F,177
OH,1956,Joette,F,9
KY,2018,Oakley,M,24
VA,1964,Melony,F,5
USA,2016,Yasmely,F,6
WA,2011,Kenna,F,11
AR,1938,Tressie,F,7
PR,2002,Paloma,F,19
USA,1998,Kaylynn,F,281
WV,2009,Hayden,F,26
KY,1960,Trudy,F,9
USA,1905,Leonora,F,25
FL,1931,Owen,M,6
MO,1974,Angeline,F,7
CA,1994,Lita,F,5
GA,1959,Vivian,F,121
NH,1916,Calvin,M,6
USA,1981,Hashim,M,20
ID,1979,Roger,M,10
NE,1973,Kerry,F,18
FL,1990,Eric,M,841
CO,1949,Mario,M,7
AL,1963,Eloise,F,11
PA,1940,Magdalene,F,8
NJ,1991,Leo,M,12
USA,2017,Adaeze,F,21
TX,1933,Jeff,M,23
CA,1953,Michale,M,8
USA,1939,Shirle,F,5
TX,2010,Kamari,M,5
MT,1965,Leslie,F,15
NJ,1998,Desiree,F,44
WI,1978,Sheri,F,21
USA,1964,Adriano,M,6
MD,1915,Elinor,F,7
USA,1984,Deniesha,F,5
GA,1913,Albert,M,184
USA,2008,Samera,F,23
MO,1953,Leanne,F,5
USA,2012,Deren,M,6
USA,1906,Zelpha,F,5
TX,1984,Concepcion,F,6
FL,1948,Edna,F,59
USA,1981,Kashawna,F,6
OR,2010,Ashlynn,F,22
USA,2014,Evely,F,8
USA,1969,Pamela,M,60
USA,2016,Daliyah,F,69
MI,1944,Otis,M,13
USA,2009,Airick,M,5
NC,1959,Delphine,F,30
USA,2015,Tovia,M,8
OH,1921,Claire,F,30
OH,2008,Dereon,M,16
GA,1951,Bobbie,M,10
NV,2009,Ciara,F,6
AR,1920,Edwin,M,23
TX,2018,Yasir,M,8
NC,1910,Harrison,M,10
USA,1975,Kenn,M,6
IL,1978,Reggie,M,17
PA,1984,Janel,F,16
USA,1996,Alba,F,78
SC,2009,Jamal,M,8
KY,1932,Jackson,M,6
IL,1984,Channel,F,10
UT,2004,Marlee,F,8
DC,1935,Marguerite,F,9
CO,2004,Carson,M,72
VA,1982,Joan,F,7
PA,2011,Cristal,F,5
KY,1925,Emogene,F,24
VA,2009,Caiden,M,32
SC,1988,Shanice,F,41
NC,1919,Lyda,F,11
USA,1927,Leverne,M,21
USA,1975,Riki,M,5
ND,1972,Teri,F,13
USA,1958,Laurina,F,6
USA,2007,Kylani,F,5
USA,1962,Karalee,F,28
NY,1998,Dalton,M,67
CA,1958,Everardo,M,7
PA,2007,Miley,F,55
OH,2013,Calli,F,8
USA,2016,Nosson,M,36
FL,1921,Edd,M,5
USA,2014,Darlyn,F,35
NC,1977,Yasmin,F,5
NC,1929,Scott,M,7
MO,1970,Bradley,M,255
VA,2014,Amya,F,6
NY,1962,Nannette,F,12
USA,1930,Murdock,M,6
MS,2018,Jerry,M,6
USA,1989,Aarthi,F,6
FL,2003,Jaeda,F,8
CA,2015,Mayra,F,39
NY,1974,Jodi,F,267
GA,2010,Daniya,F,8
NY,2000,Chance,M,31
USA,1920,Lollie,F,14
VA,2015,Ember,F,24
USA,1920,Summie,M,5
KS,1981,Luis,M,14
CA,1971,Gil,M,10
KS,1969,Kristen,F,33
AR,2017,Annabeth,F,5
MN,1951,Kaye,F,10
USA,1996,Hallee,F,36
AR,1937,Imogene,F,27
USA,1923,Trinidad,M,57
USA,1946,Doshia,F,7
OR,2008,Gabriela,F,22
CT,1983,Neil,M,19
VT,1969,Anna,F,7
USA,2000,Dayveon,M,25
KY,2008,Tori,F,15
USA,2000,Maitland,F,12
MA,1966,Krista,F,18
NV,2010,Camryn,F,7
LA,2000,Stanley,M,12
TX,2001,Sergio,M,500
IL,2016,Michaela,F,33
ID,1992,Juan,M,27
KS,1995,Brennan,M,9
OK,2015,Aidan,M,24
WI,1979,Maureen,F,16
TX,2008,Earl,M,5
RI,1965,Charlene,F,17
NJ,2003,Jan,M,12
MO,1951,Marshall,M,16
USA,1999,Terisa,F,5
NY,1927,Renato,M,7
OR,2018,Remington,F,12
MA,1941,Isabelle,F,12
NY,1921,Carmine,M,124
CT,1994,Aubrey,F,12
MS,1953,Rosia,F,7
AZ,1986,Nina,F,10
CA,1982,Kenji,M,16
ME,1995,Gage,M,17
NY,2006,Keegan,F,5
AL,1980,Jean,F,5
TX,1955,Simon,M,38
PA,1939,Lula,F,5
USA,1956,Delton,M,76
VA,2015,Maxton,M,6
PA,2014,Chase,F,6
USA,1925,Thais,F,31
IN,1960,Joel,M,84
USA,1922,Leslie,F,121
CA,1969,Janee,F,8
IL,1999,Anjelica,F,5
TX,2001,Yash,M,6
UT,2012,Everly,F,5
USA,2012,Anndee,F,6
FL,2013,Nicole,F,277
MO,2012,Ariella,F,8
MT,1919,Olaf,M,5
MA,1964,Terese,F,5
CA,1938,Aiko,F,5
WA,2017,Charles,M,140
TN,2008,Jamya,F,22
WI,1944,Jeanette,F,64
NY,1997,Shareef,M,6
MN,1964,Veronica,F,14
USA,2018,Dany,M,25
USA,2018,Meissa,F,7
IN,2017,Camryn,F,23
KY,1934,Dovie,F,9
KY,1983,Breanna,F,5
NJ,1996,Anneliese,F,6
HI,1988,Maurice,M,6
MO,2010,Daisy,F,24
MT,1977,Shauna,F,5
VA,1971,Nelson,M,26
KY,2017,Destiny,F,7
USA,2010,Annamae,F,25
NM,1932,Joe,M,214
USA,1941,Orelia,F,12
CA,1981,Billy,F,6
CA,1929,Dale,M,64
ID,2008,Kason,M,6
USA,1952,Eric,F,16
LA,1943,Hardy,M,11
MO,1910,Nettie,F,16
SC,2003,Haley,F,147
TX,1931,Miguel,M,75
AZ,2005,Prince,M,6
MD,1954,Renee,F,50
AL,1957,Gayla,F,10
PA,1967,Miles,M,9
WV,1932,Rita,F,26
USA,1977,Amorette,F,11
OH,1995,Antwan,M,12
USA,2006,Alison,F,1216
USA,1897,Elsa,F,128
FL,2005,Evelyn,F,140
OH,1962,Arturo,M,5
USA,1960,Elna,F,13
KS,1935,Marshall,M,10
IA,1918,Sara,F,14
USA,1921,Gamaliel,M,6
USA,1959,Guillermo,M,182
USA,2008,Sugey,F,10
UT,1969,Kent,M,28
KY,1925,Ruthie,F,8
LA,1978,Alyssa,F,8
DC,1938,Esther,F,14
NY,2014,Jose,M,197
ME,2002,Kristina,F,5
LA,1918,Pete,M,15
USA,2007,Tamrah,F,5
OH,1998,Davonte,M,9
MI,1999,Fredrick,M,11
FL,1967,Dorothea,F,8
CA,2016,Zully,F,6
USA,2016,Solace,M,11
RI,1943,Alan,M,33
USA,1947,Christian,F,14
KY,1999,Baby,F,5
AR,1942,Bonnie,F,131
WV,2005,Daniel,M,63
VA,1992,Bianca,F,50
MN,1968,Lynae,F,7
IN,1936,Donnie,M,21
IL,2017,Emmalee,F,6
USA,1998,Alisandra,F,10
OK,1937,Elouise,F,6
AZ,1946,Bruce,M,27
NY,1969,Shanta,F,8
WA,2011,Maxine,F,8
USA,2014,Jaslyn,F,167
AL,2015,Everly,F,36
CA,1987,Keeley,F,7
USA,1954,Joaquina,F,5
KS,1946,Nick,M,15
USA,2018,Landrey,M,8
USA,2016,Isla,F,2519
USA,1996,Kimi,F,17
MI,1941,Stewart,M,11
MN,1993,Paige,F,163
NC,1917,Odell,F,20
VA,2016,Onyx,M,6
AL,1952,Melba,F,23
NJ,1996,Tyron,M,9
USA,1972,Marjorie,F,453
CT,1921,Carmelo,M,6
AZ,1943,Walter,M,35
NY,1993,Tayler,F,21
VA,1999,Roy,M,18
IL,1988,Everett,M,11
MI,1927,Lavina,F,5
NE,1961,Vicki,F,79
USA,2013,Demaryius,M,13
USA,2013,Yitzhak,M,11
GA,1936,Jacquelyn,F,40
CA,1949,Gregorio,M,9
USA,1965,Shara,F,58
GA,1990,Ayesha,F,7
NJ,1929,Howard,M,202
AZ,1973,Lola,F,5
CA,1917,Lewis,M,28
MS,1976,Shirley,F,20
USA,1996,Emery,F,75
USA,1920,Larene,F,21
USA,1919,Gaye,F,10
OK,1920,Omega,F,8
USA,2015,Shiah,M,5
NM,2016,Aleah,F,5
NY,2015,Delilah,F,127
VA,1980,Joan,F,10
MN,2018,Shiloh,F,9
TX,1994,Jeremias,M,8
MD,2017,Landon,M,114
IL,1915,George,M,1359
CT,1971,Freddie,M,5
WV,2003,Drew,M,9
USA,1973,Luara,F,5
OH,1952,Bruce,M,824
MO,1983,Zachary,M,217
AR,1950,Margaret,F,178
FL,2001,Shmuel,M,5
ND,1950,Holly,F,11
KY,2012,Kate,F,22
ND,1932,Thelma,F,18
IL,1980,Davis,M,7
SC,1977,Valencia,F,5
USA,1996,Avrum,M,10
CA,1951,Sandy,F,60
IN,1969,Bridgette,F,11
IA,1974,Tommy,M,6
CA,1987,Burton,M,5
USA,1958,Collier,M,12
WV,2008,Lacey,F,6
UT,1948,Lee,F,13
USA,1978,Evelyn,F,820
OR,2014,Trenton,M,12
TN,1979,Edith,F,5
WI,1962,Lorna,F,12
NH,1983,Jasmine,F,5
USA,1980,Jaymee,F,23
USA,1981,Sinan,M,5
CT,2018,Jana,F,5
MS,1996,Darren,M,15
LA,1999,Clare,F,8
FL,1981,Regina,F,73
AR,1981,Sandra,F,19
USA,1986,Lauriel,F,5
OR,2007,Garrett,M,41
USA,2015,Emmalee,F,278
USA,1997,Rickardo,M,5
USA,1949,Steven,M,19921
NY,1950,Saundra,F,44
MN,2001,Grant,M,108
TX,2017,Lamarcus,M,6
NE,1914,Mervin,M,7
NC,1989,Malcolm,M,38
ID,1973,Shauna,F,12
DE,1957,Jay,M,15
MO,1980,Devin,F,9
VA,1990,Savanna,F,5
ME,1955,Lucy,F,6
ID,1937,Geraldine,F,19
OK,1988,Terence,M,6
USA,2017,Tevon,M,9
MA,1932,Gladys,F,70
AR,2008,Dana,F,5
NJ,2009,Alessandra,F,21
USA,1934,Lavar,M,7
IN,1923,Emil,M,17
TX,2009,Taliah,F,5
TX,1994,Angelo,M,21
MI,1980,Lynda,F,13
USA,2014,Jacinto,M,26
GA,1949,Nicholas,M,5
OH,1998,Lorenzo,M,16
USA,1968,Michael,M,82008
IL,2004,Levi,M,101
USA,2003,Tylor,F,9
AR,1973,Kathleen,F,9
GA,2006,Rylie,F,27
WA,2007,Allen,M,23
IA,1937,Forrest,M,10
PA,2005,Haneef,M,9
MI,1937,Murray,M,7
USA,2004,Jadarion,M,6
IL,1998,Jamon,M,11
WA,2008,Bridget,F,25
OH,1972,Gregg,M,29
ID,2005,Nicolas,M,7
USA,1994,Lyman,M,15
CO,1991,Adriana,F,30
NY,2013,Avigail,F,17
USA,1909,Blanch,F,79
OK,1928,Jane,F,38
USA,1917,Bennett,F,5
IL,2010,Cade,M,28
OK,1996,Jerry,M,19
USA,2014,Mckinley,M,72
KS,1999,Adrian,F,7
OH,1915,Martin,M,109
USA,1941,Claudina,F,8
MI,1946,Lyle,M,62
IN,1980,Dianna,F,7
OK,2013,Eric,M,29
IL,1994,Shannon,F,309
NH,1945,Gloria,F,35
NJ,1946,Catherine,F,283
KY,2008,Heather,F,14
VA,1971,Karin,F,17
AL,1910,Earline,F,14
TN,1983,Diane,F,14
MD,1996,Courtney,F,204
USA,2002,Raheem,M,147
USA,2009,Tiano,M,6
USA,1912,Seymour,M,118
CA,1982,Jovany,M,12
USA,2002,Jyair,M,5
AK,2013,Ellie,F,11
USA,1946,Byron,M,786
IL,1979,Aracely,F,10
VA,1973,Tami,F,6
AL,1948,Carlos,M,18
NC,1921,Connie,M,8
TX,1910,Jewell,F,67
USA,2004,Siane,F,5
NY,1935,Luigi,M,5
USA,1998,Demetrios,M,33
USA,2012,Philopateer,M,15
DE,1997,Anthony,M,65
CA,2008,Dakari,M,7
HI,1939,Nancy,F,45
CO,1987,Katelyn,F,31
KY,1988,Janessa,F,5
GA,1922,Rosevelt,M,6
PA,2009,Malcolm,M,19
TN,1970,Angelique,F,12
USA,1981,Devanie,F,6
USA,1982,Shanele,F,6
OH,1957,Rueben,M,5
USA,1997,Antonious,M,11
NY,1920,Lorraine,F,232
AK,2004,Jordan,F,15
USA,2015,Jephthah,M,6
USA,2018,Jordani,M,7
MA,1913,Lucia,F,6
CA,1988,Dayana,F,18
NY,2000,De,F,7
OK,2008,Addilyn,F,8
TX,2010,Gabriella,F,485
USA,1936,Lorelle,F,12
CO,1998,Edith,F,12
CA,2009,Leora,F,6
NE,1945,Anne,F,16
FL,1970,Sonny,M,11
MO,2003,Jerry,M,21
ID,1984,Terra,F,5
MD,1947,Irwin,M,8
AR,1996,Demario,M,5
MO,1957,Valarie,F,16
NY,1998,Saif,M,10
MA,1979,Sylvia,F,7
SC,2003,Paul,M,23
TN,1992,Selina,F,8
VA,2009,Leyla,F,8
USA,1896,Hilliard,M,16
USA,1941,Haynes,M,8
TX,1990,Josue,M,166
NC,1994,Frank,M,28
WV,1948,Janet,F,255
USA,1935,Floy,M,7
AZ,2005,Taytum,F,7
IL,1958,Pandora,F,8
IL,1935,Neoma,F,5
KS,2018,Conor,M,12
PR,2013,Jendriel,M,8
CA,2004,Kalynn,F,7
NJ,2009,Kelly,F,66
AK,1955,Bill,M,5
AZ,1980,Paige,F,7
VA,1947,Guy,M,27
CA,1927,Enrique,M,41
USA,1995,Breeonna,F,9
SC,1975,Kent,M,6
USA,1988,Selita,F,13
KS,1995,Janel,F,5
NY,1970,Adrianne,F,20
USA,1980,Parker,M,133
PA,1912,Ora,F,8
OH,2013,Coen,M,13
UT,1915,Elden,M,7
MO,1935,Hubert,M,14
USA,1997,Rosalynn,F,18
NY,1970,Timothy,F,9
